"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048747","GO:0048747","muscle fiber development","5/81","52/15641",7.06020392675798e-06,0.0132873037901585,0.0118760061841676,"MYL2/SMO/MYO18B/ACTA1/BCL2",5
"GO:0008544","GO:0008544","epidermis development","10/81","388/15641",3.07596718647815e-05,0.0277538032058094,0.0248059609166527,"COL17A1/KRT31/SMO/FLG2/UGCG/LCE2B/IL20/BCL2/PTCH1/PPARA",10
"GO:0055002","GO:0055002","striated muscle cell development","6/81","129/15641",5.47981589759844e-05,0.0277538032058094,0.0248059609166527,"MYL2/SMO/MYO18B/ACTA1/BCL2/PPARA",6
"GO:0009953","GO:0009953","dorsal/ventral pattern formation","5/81","88/15641",9.20125906751842e-05,0.0277538032058094,0.0248059609166527,"SMO/NKX2-1/BMPR1B/ASCL1/PTCH1",5
"GO:0055001","GO:0055001","muscle cell development","6/81","143/15641",9.71384679981584e-05,0.0277538032058094,0.0248059609166527,"MYL2/SMO/MYO18B/ACTA1/BCL2/PPARA",6
"GO:0001656","GO:0001656","metanephros development","5/81","90/15641",0.000102394317108805,0.0277538032058094,0.0248059609166527,"RDH10/LIF/SMO/BCL2/PTCH1",5
"GO:0051412","GO:0051412","response to corticosterone","3/81","18/15641",0.00010322881107368,0.0277538032058094,0.0248059609166527,"FOSB/FOS/TRH",3
"GO:0060487","GO:0060487","lung epithelial cell differentiation","3/81","20/15641",0.000143143094446964,0.0296615268174114,0.0265110575838824,"KLF2/NKX2-1/ASCL1",3
"GO:0097305","GO:0097305","response to alcohol","7/81","225/15641",0.000163672306772791,0.0296615268174114,0.0265110575838824,"FOSB/KLF2/SMO/ADCY1/FOS/TRH/PTCH1",7
"GO:0060479","GO:0060479","lung cell differentiation","3/81","21/15641",0.000166377686264712,0.0296615268174114,0.0265110575838824,"KLF2/NKX2-1/ASCL1",3
"GO:0002763","GO:0002763","positive regulation of myeloid leukocyte differentiation","4/81","54/15641",0.000173367053661809,0.0296615268174114,0.0265110575838824,"LIF/IL20/FOS/TMEM64",4
"GO:0010226","GO:0010226","response to lithium ion","3/81","22/15641",0.000191929787304742,0.0301009883089604,0.0269038421151735,"ASCL1/ACTA1/ADCY1",3
"GO:0045672","GO:0045672","positive regulation of osteoclast differentiation","3/81","25/15641",0.000283456330447375,0.0394654118560465,0.0352736328351487,"IL20/FOS/TMEM64",3
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","6/81","176/15641",0.000300941640514901,0.0394654118560465,0.0352736328351487,"PLXNA1/RDH10/SMO/NKX2-1/BCL2/PTCH1",6
"GO:0048732","GO:0048732","gland development","9/81","420/15641",0.000314548978661369,0.0394654118560465,0.0352736328351487,"PLXNA1/SMO/NKX2-1/ASCL1/HOXB9/BCL2/PLAG1/PTCH1/IGF2R",9
"GO:0048730","GO:0048730","epidermis morphogenesis","3/81","28/15641",0.000399247207977568,0.0441990144361049,0.039504460578833,"SMO/FLG2/BCL2",3
"GO:0048741","GO:0048741","skeletal muscle fiber development","3/81","28/15641",0.000399247207977568,0.0441990144361049,0.039504460578833,"SMO/ACTA1/BCL2",3
"GO:0001763","GO:0001763","morphogenesis of a branching structure","6/81","190/15641",0.000452719071053719,0.0473342939846166,0.0423067295639674,"PLXNA1/RDH10/SMO/NKX2-1/BCL2/PTCH1",6
"GO:0051385","GO:0051385","response to mineralocorticoid","3/81","30/15641",0.00049111758466455,0.0485479285051561,0.0433914591147377,"FOSB/FOS/TRH",3
"GO:0042063","GO:0042063","gliogenesis","7/81","272/15641",0.000516949078413431,0.0485479285051561,0.0433914591147377,"MYRF/LIF/SMO/NKX2-1/ASCL1/AZU1/PLAG1",7
"GO:0014904","GO:0014904","myotube cell development","3/81","31/15641",0.000541714398835429,0.0485479285051561,0.0433914591147377,"SMO/ACTA1/BCL2",3
